"from","to","weight"
"A. Murat Ozbayoglu","Erdogan Dogdu",1
"Aakanksha Singh","Zayden Tethong",1
"Aamir Mandviwalla","Bo Ji",1
"Aamir Mandviwalla","Keita Ohshiro",1
"Aastha Jain","Hema Raghavan",1
"Abdalghani Abujabal","Gerhard Weikum",2
"Abdalghani Abujabal","Jannik Strötgen",1
"Abdalghani Abujabal","Mohamed Yahya",1
"Abdalghani Abujabal","Rishiraj Saha Roy",2
"Abdel-Hameed A. Badawy","Janice O. McMahon",1
"Abdel-Hameed A. Badawy","Shannon K. Kuntz",1
"Abdeltawab M. Hendawi","Ankur Teredesai",1
"Abdeltawab M. Hendawi","Jayant Gupta",1
"Abdeltawab M. Hendawi","Jiayi Liu",1
"Abdeltawab M. Hendawi","Mohak Shah",1
"Abdeltawab M. Hendawi","Mohamed H. Ali",1
"Abdeltawab M. Hendawi","Naveen Ramakrishnan",1
"Abdulhakim Ali Qahtan","Ahmed K. Elmagarmid",1
"Abdulhakim Ali Qahtan","Mourad Ouzzani",1
"Abdulhakim Ali Qahtan","Nan Tang 0001",1
"Abdulhakim Ali Qahtan","Raul Castro Fernandez",1
"Abdullah Al-Mamun 0001","Dongfang Zhao 0001",2
"Abdullah Al-Mamun 0001","Hui Lin",1
"Abdullah Al-Mamun 0001","Mohammad Sadoghi",1
"Abdullah Al-Mamun 0001","Tonglin Li",2
"Abdullah Al-Mamun 0001","Yi Zhao",1
"Abdullah Alfarrarjeh","Akshay Deshmukh",1
"Abdullah Alfarrarjeh","Cyrus Shahabi",2
"Abdullah Alfarrarjeh","Dweep Trivedi",1
"Abdullah Alfarrarjeh","Seon Ho Kim",2
"Abdullah Alfarrarjeh","Shivnesh Rajan",1
"Abdulrahman Azab","Antti Pursula",1
"Abdulrahman Azab","Eivind Hovig",1
"Abdulrahman Azab","Hein Meling",1
"Abdulrahman Kaitoua","Luca Nanni",1
"Abdulrahman Kaitoua","Marco Masseroli",1
"Abdulrahman Kaitoua","Pietro Pinoli",1
"Abdurrahman Yasar","Ümit V. Çatalyürek",1
"Abhijin Adiga","Chris J. Kuhlman",1
"Abhijin Adiga","Daniel J. Rosenkrantz",1
"Abhijin Adiga","Madhav V. Marathe",1
"Abhijin Adiga","Richard Edwin Stearns",1
"Abhijin Adiga","S. S. Ravi",1
"Abhijin Adiga","Vanessa Cedeno-Mieles",1
"Abhijit Suresh","Bill Foland",1
"Abhijit Suresh","Isabella Huang",1
"Abhijit Suresh","Jennifer Jacobs",1
"Abhijit Suresh","Tamara Sumner",1
